,fault,proApoptosis,antiApoptosis,proArrest,antiArrest,proAngiogenesis,antiAngiogenesis,ConvexSum,ApopRatio,ArrestRatio,AngioRatio,INDEX
93,"(['DRD2', 'PIAS'], [True, True])",0.5,0.5,1.0,0.5,0.7142857142857143,0.5,1.2999999999999998,1.0,2.0,0.7,
94,"(['DRD2', 'cMyc'], [True, True])",0.5,0.5,1.0,0.5,0.7142857142857143,0.5,1.2999999999999998,1.0,2.0,0.7,
95,"(['DRD2', 'CREB'], [True, True])",0.5,0.5,1.0,0.5,0.7142857142857143,0.5,1.2999999999999998,1.0,2.0,0.7,
96,"(['DRD2', 'CHOP'], [True, True])",0.5,0.5,1.0,0.5,0.7142857142857143,0.5,1.2999999999999998,1.0,2.0,0.7,
97,"(['DRD2', 'FOXO'], [True, True])",0.5,0.5,1.0,0.5,0.7142857142857143,0.5,1.2999999999999998,1.0,2.0,0.7,
98,"(['DRD2', 'p15'], [True, True])",0.5,0.5,1.0,0.25,0.7142857142857143,0.5,1.9,1.0,4.0,0.7,
99,"(['DRD2', 'GliR'], [True, True])",0.5,0.5,1.0,0.5,0.7142857142857143,0.5,1.2999999999999998,1.0,2.0,0.7,
100,"(['DRD2', 'GliA'], [True, True])",0.5,0.5,1.0,0.5,0.7142857142857143,0.5,1.2999999999999998,1.0,2.0,0.7,
101,"(['DRD2', 'fos'], [True, True])",0.5,0.5,1.0,0.5,0.7142857142857143,0.5,1.2999999999999998,1.0,2.0,0.7,
102,"(['DRD2', 'jun'], [True, True])",0.5,0.5,1.0,0.5,0.7142857142857143,0.5,1.2999999999999998,1.0,2.0,0.7,
103,"(['DRD2', 'ATM'], [True, True])",0.5,0.5,1.0,0.5,0.7142857142857143,0.5,1.2999999999999998,1.0,2.0,0.7,
104,"(['DRD2', 'CHK1'], [True, True])",0.5,0.5,1.0,0.5,0.7142857142857143,0.5,1.2999999999999998,1.0,2.0,0.7,
105,"(['DRD2', 'p16INK4a'], [True, True])",0.5,0.5,1.0,0.25,0.7142857142857143,0.5,1.9,1.0,4.0,0.7,
106,"(['DRD2', 'p14ARF'], [True, True])",0.5,0.5,1.0,0.5,0.7142857142857143,0.5,1.2999999999999998,1.0,2.0,0.7,
107,"(['DRD2', 'MDM2'], [True, True])",0.5,0.5,1.0,0.5,0.7142857142857143,0.5,1.2999999999999998,1.0,2.0,0.7,
108,"(['DRD2', 'p53'], [True, True])",0.75,0.5,1.0,0.25,0.7142857142857143,1.0,2.25,1.5,4.0,1.4,
109,"(['DRD2', 'PCNA'], [True, True])",0.5,0.5,1.0,0.25,0.7142857142857143,0.5,1.9,1.0,4.0,0.7,
110,"(['DRD2', 'CDC25'], [True, True])",0.5,0.5,1.0,0.5,0.7142857142857143,0.5,1.2999999999999998,1.0,2.0,0.7,
111,"(['DRD2', 'p21'], [True, True])",0.5,0.5,1.0,0.25,0.7142857142857143,0.5,1.9,1.0,4.0,0.7,
112,"(['DRD2', 'MMP1'], [True, True])",0.5,0.5,1.0,0.5,0.7142857142857143,0.5,1.2999999999999998,1.0,2.0,0.7,
