,fault,proApoptosis,antiApoptosis,proArrest,antiArrest,proAngiogenesis,antiAngiogenesis,ConvexSum,ApopRatio,ArrestRatio,AngioRatio,INDEX
68,"(['DRD2', 'TSC'], {'DRD2': True, 'TSC': True})",0.75,0.5,1.0,0.25,0.5714285714285714,0.5,2.25,1.5,4.0,0.875,
69,"(['DRD2', 'Rheb'], {'DRD2': True, 'Rheb': True})",0.75,0.5,1.0,0.25,0.5714285714285714,0.5,2.25,1.5,4.0,0.875,
70,"(['DRD2', 'mTORc1'], {'DRD2': True, 'mTORc1': True})",0.75,0.5,1.0,0.25,0.5714285714285714,0.5,2.25,1.5,4.0,0.875,
71,"(['DRD2', 'S6K'], {'DRD2': True, 'S6K': True})",0.75,0.5,1.0,0.25,0.5714285714285714,0.5,2.25,1.5,4.0,0.875,
72,"(['DRD2', 'mTORc2'], {'DRD2': True, 'mTORc2': True})",0.75,0.5,1.0,0.25,0.5714285714285714,0.5,2.25,1.5,4.0,0.875,
73,"(['DRD2', 'STAT3'], {'DRD2': True, 'STAT3': True})",0.75,0.5,1.0,0.25,0.5714285714285714,0.5,2.25,1.5,4.0,0.875,
74,"(['DRD2', 'VEGF'], {'DRD2': True, 'VEGF': True})",0.75,0.5,1.0,0.25,0.5714285714285714,0.5,2.25,1.5,4.0,0.875,
75,"(['DRD2', 'eNOS'], {'DRD2': True, 'eNOS': True})",0.75,0.5,1.0,0.25,0.5714285714285714,0.5,2.25,1.5,4.0,0.875,
76,"(['DRD2', 'OG'], {'DRD2': True, 'OG': True})",0.75,0.5,1.0,0.25,0.5714285714285714,0.5,2.25,1.5,4.0,0.875,
77,"(['DRD2', 'MGMT'], {'DRD2': True, 'MGMT': True})",0.75,0.5,1.0,0.25,0.5714285714285714,0.5,2.25,1.5,4.0,0.875,
78,"(['DRD2', 'IDH1'], {'DRD2': True, 'IDH1': True})",0.75,0.5,1.0,0.25,0.5714285714285714,0.5,2.25,1.5,4.0,0.875,
79,"(['DRD2', 'HIF1a'], {'DRD2': True, 'HIF1a': True})",0.75,0.5,1.0,0.25,0.5714285714285714,0.5,2.25,1.5,4.0,0.875,
80,"(['DRD2', 'iNOS'], {'DRD2': True, 'iNOS': True})",0.75,0.5,1.0,0.25,0.5714285714285714,0.5,2.25,1.5,4.0,0.875,
81,"(['DRD2', 'COX2'], {'DRD2': True, 'COX2': True})",0.75,0.5,1.0,0.25,0.5714285714285714,0.5,2.25,1.5,4.0,0.875,
82,"(['DRD2', 'PERK'], {'DRD2': True, 'PERK': True})",0.75,0.5,1.0,0.25,0.5714285714285714,0.5,2.25,1.5,4.0,0.875,
83,"(['DRD2', 'ELF2a'], {'DRD2': True, 'ELF2a': True})",0.75,0.5,1.0,0.25,0.5714285714285714,0.5,2.25,1.5,4.0,0.875,
84,"(['DRD2', 'IRE1a'], {'DRD2': True, 'IRE1a': True})",0.75,0.5,1.0,0.25,0.5714285714285714,0.5,2.25,1.5,4.0,0.875,
85,"(['DRD2', 'TGFbR'], {'DRD2': True, 'TGFbR': True})",0.75,0.5,1.0,0.25,0.5714285714285714,0.5,2.25,1.5,4.0,0.875,
86,"(['DRD2', 'SMAD23'], {'DRD2': True, 'SMAD23': True})",0.75,0.5,1.0,0.25,0.5714285714285714,0.5,2.25,1.5,4.0,0.875,
87,"(['DRD2', 'MEKK1'], {'DRD2': True, 'MEKK1': True})",0.75,0.5,1.0,0.25,0.5714285714285714,0.5,2.25,1.5,4.0,0.875,
88,"(['DRD2', 'JNK'], {'DRD2': True, 'JNK': True})",0.75,0.5,1.0,0.25,0.5714285714285714,0.5,2.25,1.5,4.0,0.875,
89,"(['DRD2', 'sGC'], {'DRD2': True, 'sGC': True})",0.75,0.5,1.0,0.25,0.5714285714285714,0.5,2.25,1.5,4.0,0.875,
90,"(['DRD2', 'PKG'], {'DRD2': True, 'PKG': True})",0.75,0.5,1.0,0.25,0.5714285714285714,0.5,2.25,1.5,4.0,0.875,
91,"(['DRD2', 'PPARa'], {'DRD2': True, 'PPARa': True})",0.75,0.5,1.0,0.25,0.5714285714285714,0.5,2.25,1.5,4.0,0.875,
92,"(['DRD2', 'PPARg'], {'DRD2': True, 'PPARg': True})",0.75,0.5,1.0,0.25,0.5714285714285714,0.5,2.25,1.5,4.0,0.875,
93,"(['DRD2', 'PIAS'], {'DRD2': True, 'PIAS': True})",0.75,0.5,1.0,0.25,0.5714285714285714,0.5,2.25,1.5,4.0,0.875,
94,"(['DRD2', 'cMyc'], {'DRD2': True, 'cMyc': True})",0.75,0.5,1.0,0.25,0.5714285714285714,0.5,2.25,1.5,4.0,0.875,
95,"(['DRD2', 'CREB'], {'DRD2': True, 'CREB': True})",0.75,0.5,1.0,0.25,0.5714285714285714,0.5,2.25,1.5,4.0,0.875,
96,"(['DRD2', 'CHOP'], {'DRD2': True, 'CHOP': True})",0.75,0.5,1.0,0.25,0.5714285714285714,0.5,2.25,1.5,4.0,0.875,
97,"(['DRD2', 'FOXO'], {'DRD2': True, 'FOXO': True})",0.75,0.5,1.0,0.25,0.5714285714285714,0.5,2.25,1.5,4.0,0.875,
98,"(['DRD2', 'p15'], {'DRD2': True, 'p15': True})",0.75,0.5,1.0,0.25,0.5714285714285714,0.5,2.25,1.5,4.0,0.875,
99,"(['DRD2', 'GliR'], {'DRD2': True, 'GliR': True})",0.75,0.5,1.0,0.25,0.5714285714285714,0.5,2.25,1.5,4.0,0.875,
100,"(['DRD2', 'GliA'], {'DRD2': True, 'GliA': True})",0.75,0.5,1.0,0.25,0.5714285714285714,0.5,2.25,1.5,4.0,0.875,
101,"(['DRD2', 'fos'], {'DRD2': True, 'fos': True})",0.75,0.5,1.0,0.25,0.5714285714285714,0.5,2.25,1.5,4.0,0.875,
102,"(['DRD2', 'jun'], {'DRD2': True, 'jun': True})",0.75,0.5,1.0,0.25,0.5714285714285714,0.5,2.25,1.5,4.0,0.875,
103,"(['DRD2', 'ATM'], {'DRD2': True, 'ATM': True})",0.75,0.5,1.0,0.25,0.5714285714285714,0.5,2.25,1.5,4.0,0.875,
104,"(['DRD2', 'CHK1'], {'DRD2': True, 'CHK1': True})",0.75,0.5,1.0,0.25,0.5714285714285714,0.5,2.25,1.5,4.0,0.875,
105,"(['DRD2', 'p16INK4a'], {'DRD2': True, 'p16INK4a': True})",0.75,0.5,1.0,0.25,0.5714285714285714,0.5,2.25,1.5,4.0,0.875,
106,"(['DRD2', 'p14ARF'], {'DRD2': True, 'p14ARF': True})",0.75,0.5,1.0,0.25,0.5714285714285714,0.5,2.25,1.5,4.0,0.875,
107,"(['DRD2', 'MDM2'], {'DRD2': True, 'MDM2': True})",0.75,0.5,1.0,0.25,0.5714285714285714,0.5,2.25,1.5,4.0,0.875,
108,"(['DRD2', 'p53'], {'DRD2': True, 'p53': True})",0.75,0.5,1.0,0.25,0.5714285714285714,1.0,2.25,1.5,4.0,1.75,
109,"(['DRD2', 'PCNA'], {'DRD2': True, 'PCNA': True})",0.75,0.5,1.0,0.25,0.5714285714285714,0.5,2.25,1.5,4.0,0.875,
110,"(['DRD2', 'CDC25'], {'DRD2': True, 'CDC25': True})",0.75,0.5,1.0,0.25,0.5714285714285714,0.5,2.25,1.5,4.0,0.875,
111,"(['DRD2', 'p21'], {'DRD2': True, 'p21': True})",0.75,0.5,1.0,0.25,0.5714285714285714,0.5,2.25,1.5,4.0,0.875,
112,"(['DRD2', 'MMP1'], {'DRD2': True, 'MMP1': True})",0.75,0.5,1.0,0.25,0.5714285714285714,0.5,2.25,1.5,4.0,0.875,
113,"(['DRD2', 'MMP2'], {'DRD2': True, 'MMP2': True})",0.75,0.5,1.0,0.25,0.5714285714285714,0.5,2.25,1.5,4.0,0.875,
114,"(['DRD2', 'PAI'], {'DRD2': True, 'PAI': True})",0.75,0.5,1.0,0.25,0.5714285714285714,0.5,2.25,1.5,4.0,0.875,
115,"(['DRD2', 'PARP1'], {'DRD2': True, 'PARP1': True})",0.75,0.5,1.0,0.25,0.5714285714285714,0.5,2.25,1.5,4.0,0.875,
116,"(['DRD2', 'Calpain'], {'DRD2': True, 'Calpain': True})",0.75,0.5,1.0,0.25,0.5714285714285714,0.5,2.25,1.5,4.0,0.875,
117,"(['DRD2', 'TERT'], {'DRD2': True, 'TERT': True})",0.75,0.6666666666666666,1.0,0.25,0.5714285714285714,0.5,1.9874999999999998,1.125,4.0,0.875,
118,"(['DRD2', 'Rac'], {'DRD2': True, 'Rac': True})",0.75,0.5,1.0,0.25,0.6428571428571429,0.5,2.25,1.5,4.0,0.7777777777777777,
119,"(['DRD2', 'cPLA2'], {'DRD2': True, 'cPLA2': True})",0.75,0.5,1.0,0.25,0.6428571428571429,0.5,2.25,1.5,4.0,0.7777777777777777,
120,"(['DRD2', 'CCND1'], {'DRD2': True, 'CCND1': True})",0.75,0.5,1.0,0.5,0.5714285714285714,0.5,1.65,1.5,2.0,0.875,
121,"(['DRD2', 'CDK4'], {'DRD2': True, 'CDK4': True})",0.75,0.5,1.0,0.25,0.5714285714285714,0.5,2.25,1.5,4.0,0.875,
122,"(['DRD2', 'CASP12'], {'DRD2': True, 'CASP12': True})",0.75,0.5,1.0,0.25,0.5714285714285714,0.5,2.25,1.5,4.0,0.875,
123,"(['DRD2', 'cFLIP'], {'DRD2': True, 'cFLIP': True})",0.75,0.6666666666666666,1.0,0.25,0.5714285714285714,0.5,1.9874999999999998,1.125,4.0,0.875,
124,"(['DRD2', 'FasL'], {'DRD2': True, 'FasL': True})",0.75,0.5,1.0,0.25,0.5714285714285714,0.5,2.25,1.5,4.0,0.875,
125,"(['DRD2', 'FADD'], {'DRD2': True, 'FADD': True})",0.75,0.5,1.0,0.25,0.5714285714285714,0.5,2.25,1.5,4.0,0.875,
126,"(['DRD2', 'CASP8'], {'DRD2': True, 'CASP8': True})",0.75,0.5,1.0,0.25,0.5714285714285714,0.5,2.25,1.5,4.0,0.875,
127,"(['DRD2', 'Bid'], {'DRD2': True, 'Bid': True})",0.75,0.5,1.0,0.25,0.5714285714285714,0.5,2.25,1.5,4.0,0.875,
128,"(['DRD2', 'Mcl1'], {'DRD2': True, 'Mcl1': True})",0.75,0.5,1.0,0.25,0.5714285714285714,0.5,2.25,1.5,4.0,0.875,
