,42-MG-BA,A172,AM-38,CCF-STTG1,LN-229,T98G,U-87-MG,YKG-1
"(4, 18)",0.733333333,0.733333333,1.233333333,0.733333333,1.233333333,0.733333333,0.733333333,0.733333333
"(4, 19)",0.733333333,0.733333333,1.233333333,0.733333333,1.233333333,0.733333333,0.733333333,0.733333333
"(4, 20)",0.733333333,0.733333333,1.233333333,0.733333333,1.233333333,0.733333333,0.733333333,0.733333333
"(4, 21)",0.733333333,0.733333333,1.233333333,0.733333333,1.233333333,0.733333333,0.733333333,0.733333333
"(4, 22)",0.733333333,0.733333333,1.233333333,0.733333333,1.233333333,0.733333333,0.733333333,0.733333333
"(4, 23)",0.733333333,0.733333333,1.233333333,0.733333333,1.233333333,0.733333333,0.733333333,0.733333333
"(4, 24)",0.733333333,0.733333333,1.233333333,0.733333333,1.233333333,0.733333333,0.733333333,0.733333333
"(4, 25)",0.733333333,0.733333333,1.233333333,0.733333333,1.233333333,0.733333333,0.733333333,0.733333333
"(4, 26)",0.733333333,0.733333333,1.233333333,0.733333333,1.233333333,0.733333333,0.733333333,0.733333333
"(4, 27)",0.733333333,0.733333333,1.233333333,0.733333333,1.233333333,0.733333333,0.733333333,0.733333333
"(4, 28)",0.733333333,0.733333333,1.233333333,0.733333333,1.233333333,0.733333333,0.733333333,0.733333333
"(4, 29)",0.733333333,0.733333333,1.233333333,0.733333333,1.233333333,0.733333333,0.733333333,0.733333333
"(4, 30)",0.733333333,0.733333333,1.233333333,0.733333333,1.233333333,0.733333333,0.733333333,0.733333333
"(4, 31)",0.733333333,0.733333333,1.233333333,0.733333333,1.233333333,0.733333333,0.733333333,0.733333333
"(4, 32)",0.733333333,0.733333333,1.233333333,0.733333333,1.233333333,0.733333333,0.733333333,0.733333333
"(4, 33)",0.733333333,0.733333333,1.233333333,0.733333333,1.233333333,0.733333333,0.733333333,0.733333333
"(4, 34)",2.133333333,2.4,2.4,2.133333333,2.4,2.4,2.133333333,2.133333333
"(4, 35)",0.733333333,0.733333333,1.233333333,0.733333333,1.233333333,0.733333333,0.733333333,0.733333333
"(4, 36)",0.733333333,0.733333333,1.233333333,0.733333333,1.233333333,0.733333333,0.733333333,0.733333333
"(5, 5)",0.577777778,0.733333333,1.233333333,0.577777778,1.233333333,0.733333333,0.577777778,0.577777778
"(5, 6)",0.577777778,0.733333333,1.233333333,0.577777778,1.233333333,0.733333333,0.577777778,0.577777778
"(5, 7)",0.577777778,0.733333333,1.233333333,0.577777778,1.233333333,0.733333333,0.577777778,0.577777778
"(5, 8)",0.577777778,0.733333333,1.233333333,0.577777778,1.233333333,0.733333333,0.577777778,0.577777778
"(5, 9)",0.577777778,0.733333333,1.233333333,0.577777778,1.233333333,0.733333333,0.577777778,0.577777778
"(5, 10)",0.844444444,1,14.03333333,0.844444444,14.03333333,1,0.844444444,0.844444444
"(5, 11)",0.577777778,0.733333333,1.233333333,0.577777778,1.233333333,0.733333333,0.577777778,0.577777778
"(5, 12)",0.577777778,0.733333333,1.233333333,0.577777778,1.233333333,0.733333333,0.577777778,0.577777778
"(5, 13)",0.577777778,0.577777778,0.577777778,0.577777778,0.577777778,0.577777778,0.577777778,0.577777778
"(5, 14)",0.577777778,0.733333333,1.233333333,0.577777778,1.233333333,0.733333333,0.577777778,0.577777778
"(5, 15)",0.577777778,0.733333333,1.233333333,0.577777778,1.233333333,0.733333333,0.577777778,0.577777778
"(5, 16)",0.577777778,0.733333333,1.233333333,0.577777778,1.233333333,0.733333333,0.577777778,0.577777778
"(5, 17)",0.844444444,1,14.03333333,0.844444444,14.03333333,1,0.844444444,0.844444444
"(5, 18)",0.577777778,0.733333333,1.233333333,0.577777778,1.233333333,0.733333333,0.577777778,0.577777778
"(5, 19)",0.577777778,0.733333333,1.233333333,0.577777778,1.233333333,0.733333333,0.577777778,0.577777778
"(5, 20)",0.577777778,0.733333333,1.233333333,0.577777778,1.233333333,0.733333333,0.577777778,0.577777778
"(5, 21)",0.577777778,0.733333333,1.233333333,0.577777778,1.233333333,0.733333333,0.577777778,0.577777778
"(5, 22)",0.577777778,0.733333333,1.233333333,0.577777778,1.233333333,0.733333333,0.577777778,0.577777778
"(5, 23)",0.577777778,0.733333333,1.233333333,0.577777778,1.233333333,0.733333333,0.577777778,0.577777778
